Molarity,Percent_Change
0,3.11
0.2,-0.32
0.4,-4.27
0.6,-9.15
0,4.61
0.2,-0.97
0.4,-8.13
0.6,-11.26
0,2.88
0.2,-1.13
0.4,-8.21
0.6,-10.27
0,3.79
0.2,-0.18
0.4,-4.76
0.6,-7.91
0,4.57
0.2,-1.02
0.4,-6.51
0.6,-9.46
